category,faam_property,type,value,base_url,label
metadata,label,string,"Keyboard Sonata in E major, K.135",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,aliases,string,"Keyboard Sonata in E major, L.224",,
metadata,aliases,string,Sonata K. 135,,
metadata,qid,externalid,Q78243048,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16003527,,
statements,IMSLP ID,externalid,"Keyboard Sonata in E major, K.135 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,293126045,https://viaf.org/viaf/,
statements,form of creative work,item,RtkoMT89,,sonata
statements,creator,item,PXYCpRXf,,Domenico Scarlatti
statements,adapted by,item,jm4QpjVW,,Carl Czerny
statements,adapted by,item,5gAsc3pE,,Alessandro Longo
