category,faam_property,type,value,base_url,label
metadata,label,string,"Keyboard Sonata in E-flat major, K.192",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,aliases,string,"Keyboard Sonata in E-flat major, L.216",,
metadata,aliases,string,Sonata K. 192,,
metadata,qid,externalid,Q78239930,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16003584,,
statements,IMSLP ID,externalid,"Keyboard Sonata in E-flat major, K.192 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,293732133,https://viaf.org/viaf/,
statements,form of creative work,item,RtkoMT89,,sonata
statements,creator,item,PXYCpRXf,,Domenico Scarlatti
statements,adapted by,item,jm4QpjVW,,Carl Czerny
statements,adapted by,item,5gAsc3pE,,Alessandro Longo
