category,faam_property,type,value,base_url,label
metadata,label,string,"Quintet in E-flat major, Op.16",,
metadata,description,string,quintet by Ludwig van Beethoven,,
metadata,aliases,string,"Quintet in E-flat Major, Op. 16",,
metadata,aliases,string,Quintet for Piano and Winds,,
metadata,qid,externalid,Q3414626,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16005742,,
statements,IMSLP ID,externalid,"Quintet in E-flat major, Op.16 (Beethoven, Ludwig van)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,184284238,https://viaf.org/viaf/,
statements,form of creative work,item,UM7y2NCo,,chamber music
statements,creator,item,TZfafBBe,,Ludwig van Beethoven
