category,faam_property,type,value,base_url
metadata,label,string,German Reich,
metadata,description,string,"official name for the German nation state from 1871 to 1945, and name of Germany until 1949",
metadata,aliases,string,German Realm,
metadata,aliases,string,Deutsches Reich,
metadata,aliases,string,German Empire,
metadata,aliases,string,Imperial Germany,
metadata,aliases,string,Germany,
metadata,aliases,string,German Reich,
metadata,qid,externalid,Q1206012,http://wwww.wikidata.org/entity/
metadata,nodegoat_id,id,16004397,
