category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Le Nouveau-né,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16005502,,,
metadata,FAAM manifestation ID,id,ORP-20143700p53,,,
metadata,call number,string,KTS1 H.11.map.006,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,note,html,"L'Illustration, N. 3173
L'Illustration, N. 3173",,,
statements,provenance,item,U7DY6oXy,,Orpheus Institute,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,agent,statement,8TovrbgU,,Alfred Bruneau,YvQmwaaW||
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|
statements,agent,statement,9JZUardt,,L'Illustration,7tdgMgre|dtkJhYLf|19-12-1903
