category,faam_property,type,value,base_url,label
metadata,label,string,Romeo and Juliet,,
metadata,description,string,tragedy by William Shakespeare,,
metadata,aliases,string,An Excellent conceited Tragedie of Romeo and Iuliet,,
metadata,aliases,string,The Most Excellent and Lamentable Tragedy of Romeo and Juliet,,
metadata,aliases,string,The Tragedy of Romeo and Juliet,,
metadata,aliases,string,Romeo and Juliet,,
metadata,qid,externalid,Q83186,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16002540,,
statements,VIAF ID,externalid,313670221,https://viaf.org/viaf/,
statements,form of creative work,item,h78pJhGf,,play
statements,creator,item,Ryp9cbUE,,William Shakespeare
statements,based on,item,eSNNRKyY,,
