category,faam_property,type,value,label,qualifiers
metadata,label,string,Près du Berceau,,
metadata,description,string,,,
metadata,nodegoat_id,id,16005585,,
metadata,FAAM manifestation ID,id,ORP-20143988p82,,
metadata,call number,string,KTS1 H.11.map.008,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,note,html,"L'Illustration, N. 3372
L'Illustration, N. 3372",,
statements,date,date,12-10-1907,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,2cYc43Nw,Moritz Moszkowski,fkHJwpoD||
statements,agent,statement,2cYc43Nw,Moritz Moszkowski,fkHJwpoD||
statements,agent,statement,Ui7C9eZU,L'Illustration,GBgJfRbK|GDeKaNeC|
statements,agent,statement,Ui7C9eZU,L'Illustration,GBgJfRbK|GDeKaNeC|12-10-1907
statements,role,item,fkHJwpoD,composer,
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
