category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Rondel Galant,,
metadata,description,string,,,
metadata,id,id,SbavwDDw,,
metadata,nodegoat_id,id,16005594,,
metadata,FAAM manifestation ID,id,ORP-20143988p91,,
metadata,call number,string,KTS1 H.11.map.008,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,note,html,"L'Illustration, N.",,
statements,date,date,05-09-1908,,
statements,provenance,item,TrYWxDhL,,
statements,keyword,item,HwinuQRS,,
statements,instrumentation,item,GoXpNrsh,,
statements,instrumentation,item,KJkThvsq,,
statements,agent,statement,eN9gZpWy,fkHJwpoD||,
statements,agent,statement,Ui7C9eZU,GBgJfRbK|GDeKaNeC|05-09-1908,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,ORP-20143988p91.gif,,../assets/images/thumbs/
