category,faam_property,type,value,base_url,label
metadata,label,string,"Wie schön leuchtet der Morgenstern, BWV 1",,
metadata,label,string,"Wie schön leuchtet der Morgenstern, BWV 1",,
metadata,description,string,church cantata by Johann Sebastian Bach,,
metadata,id,id,XhupmYqT,,
metadata,nodegoat_id,id,16004342,,
metadata,aliases,string,"Wie schön leuchtet der Morgenstern, BWV 1",,
metadata,aliases,string,BWV 1,,
metadata,qid,externalid,Q13853971,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Wie schön leuchtet der Morgenstern, BWV 1 (Bach, Johann Sebastian)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,175874309,https://viaf.org/viaf/,
statements,VIAF ID,externalid,309877461,https://viaf.org/viaf/,
statements,form of creative work,item,Gz3LUkC5,,church cantata
statements,creator,item,QhRQ5LW9,,Johann Sebastian Bach
statements,adapted by,item,D3Vekn6E,,Robert Franz
statements,based on,item,Mv2AVLBZ,,
