category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Crépuscule,,
metadata,description,string,,,
metadata,id,id,ksm2HuuL,,
metadata,nodegoat_id,id,16005487,,
metadata,FAAM manifestation ID,id,ORP-20143700p38,,
metadata,call number,string,KTS1 H.11.map.006,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,note,html,"L'Illustration, N. 3162
L'Illustration, N. 3162",,
statements,date,date,03-10-1903,,
statements,provenance,item,TrYWxDhL,,
statements,keyword,item,HwinuQRS,,
statements,instrumentation,item,GoXpNrsh,,
statements,instrumentation,item,KJkThvsq,,
statements,agent,statement,Vq7kFcYE,fkHJwpoD||,
statements,agent,statement,Vq7kFcYE,fkHJwpoD||,
statements,agent,statement,Ui7C9eZU,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,Ui7C9eZU,GBgJfRbK|GDeKaNeC|03-10-1903,
statements,role,item,fkHJwpoD,,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,GBgJfRbK,,
statements,place,item,GDeKaNeC,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,ORP-20143700p38.gif,,../assets/images/thumbs/
