category,faam_property,type,value,base_url
metadata,label,string,numerical digit,
metadata,description,string,numerical symbol used in combinations to represent numbers in positional numeral systems,
metadata,aliases,string,digits,
metadata,aliases,string,numerical digit,
metadata,aliases,string,numerical digits,
metadata,aliases,string,numeric character,
metadata,aliases,string,numerical character,
metadata,aliases,string,digit,
metadata,qid,externalid,Q82990,http://wwww.wikidata.org/entity/
metadata,nodegoat_id,id,15992123,
