category,faam_property,type,value,base_url,label
metadata,label,string,Queens,,
metadata,description,string,"borough in New York City, New York, United States",,
metadata,aliases,string,"Queens, New York City",,
metadata,aliases,string,"Queens, New York",,
metadata,aliases,string,"Queens, NY",,
metadata,aliases,string,"Queens, New York City, New York",,
metadata,qid,externalid,Q18424,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,0,,
statements,GeoNames ID,externalid,5133273,https://www.geonames.org/,
statements,country,item,fiWxEeqn,,United States of America
