category,faam_property,type,value,base_url,label
metadata,label,string,Fribourg,,
metadata,description,string,capital of the canton of Fribourg in Switzerland,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q36378,http://wwww.wikidata.org/entity/,
metadata,aliases,string,Fribourg,,
metadata,aliases,string,Freiburg,,
metadata,aliases,string,Fribourg FR,,
metadata,aliases,string,Freiburg im Uechtland,,
metadata,aliases,string,Freiburg i.Ue.,,
metadata,aliases,string,Fribourg-en-Nuithonie,,
metadata,aliases,string,Freiburg i.U.,,
metadata,aliases,string,"Freiburg, Switzerland",,
metadata,aliases,string,"Fribourg, Suisse",,
metadata,aliases,string,Freiburg im Üechtland,,
statements,GeoNames ID,externalid,7285870,https://www.geonames.org/,
statements,country,item,jN8Vq8mU,,Switzerland
