category,faam_property,type,value,base_url,label
metadata,label,string,Sonata K. 433,,
metadata,label,string,"Keyboard Sonata in G major, K.433",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,nodegoat_id,id,16003826,,
metadata,aliases,string,"Keyboard Sonata in G major, L.453",,
metadata,aliases,string,Sonata K. 433,,
metadata,qid,externalid,Q74594771,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Keyboard Sonata in G major, K.433 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,293944540,https://viaf.org/viaf/,
statements,form of creative work,item,E2chmtzQ,,sonata
statements,creator,item,Na5pMDjZ,,Domenico Scarlatti
statements,adapted by,item,YdWwzL5r,,Carl Czerny
statements,adapted by,item,S2wjk8Yx,,Alessandro Longo
