category,faam_property,type,value,label,qualifiers
metadata,label,string,Menuet de la Reine,,
metadata,description,string,,,
metadata,nodegoat_id,id,16005541,,
metadata,FAAM manifestation ID,id,ORP-20143988p38,,
metadata,call number,string,KTS1 H.11.map.008,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,note,html,"L'Illustration, N. 3222
L'Illustration, N. 3222",,
statements,date,date,26-11-1904,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,
statements,keyword,item,RHxmTGG2,dance music,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,gTYuagCW,Benjamin Godard,fkHJwpoD||
statements,agent,statement,gTYuagCW,Benjamin Godard,fkHJwpoD||
statements,agent,statement,Ui7C9eZU,L'Illustration,GBgJfRbK|GDeKaNeC|
statements,agent,statement,Ui7C9eZU,L'Illustration,GBgJfRbK|GDeKaNeC|26-11-1904
statements,role,item,fkHJwpoD,composer,
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
