category,faam_property,type,value,label,qualifiers
metadata,label,string,Garde à vous : Variations : Pour la Flûte sur un Motif de la fiancée avec accompagnement de deux Violons Alto et Basse ou Piano,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992738,,
metadata,FAAM manifestation ID,id,KCG-000331402,,
metadata,call number,string,DS4645,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,editorial annotation,item,J6ERsasy,metronome mark,
statements,editorial annotation,item,DqMNcjpW,trill,
statements,editorial annotation,item,eviEKifd,dynamic,
statements,editorial annotation,item,UDva945b,crescendo,
statements,editorial annotation,item,e9t5BdLA,decrescendo,
statements,editorial annotation,item,NsEoE4RP,musical expression,
statements,editorial annotation,item,WT9AcUBt,tempo,
statements,editorial annotation,item,YRq3pSH7,cadenza,
statements,editorial annotation,item,d2uUDsVY,variation,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,
statements,keyword,item,U5dHgcL4,theme and variation,
statements,keyword,item,MaWnCnVw,arrangement,
statements,keyword,item,HwcYgL5C,salon music,
statements,keyword,item,6kwYh3HH,chamber music,
statements,keyword,item,hxYumS2J,opera,
statements,keyword,item,adAmqPwn,duet,
statements,instrumentation,item,MV3uErvy,flute,
statements,instrumentation,item,GoXpNrsh,piano,
statements,musical work,item,M9Zwn98G,La fiancée,
statements,agent,statement,HUi3iNYA,Eugène Troupenas,GBgJfRbK|GDeKaNeC|
statements,agent,statement,SU2CV5XY,Daniel François Esprit Auber,fkHJwpoD||
statements,agent,statement,DSm6cEeM,Eugène Walckiers,fkHJwpoD||
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,fkHJwpoD,composer,
statements,role,item,fkHJwpoD,composer,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
