category,faam_property,type,value,label,qualifiers
metadata,label,string,Le songe d'une nuit d'été,,
metadata,description,string,,,
metadata,nodegoat_id,id,16005396,,
metadata,FAAM manifestation ID,id,ORP-20143702p14,,
metadata,call number,string,KTS1 H.11.map.004,,
metadata,score format,item,mrQyCLJX,Polyphonic Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,provenance,item,TrYWxDhL,Orpheus Institute,
statements,keyword,item,hxYumS2J,opera,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,aMECmgpH,Ambroise Thomas,fkHJwpoD||
statements,role,item,fkHJwpoD,composer,
