category,faam_property,type,value,base_url,label
metadata,label,string,Sonata K. 438,,
metadata,label,string,"Keyboard Sonata in F major, K.438",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,nodegoat_id,id,16003831,,
metadata,aliases,string,"Keyboard Sonata in F major, L.381",,
metadata,aliases,string,Sonata K. 438,,
metadata,qid,externalid,Q74594812,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Keyboard Sonata in F major, K.438 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,292958272,https://viaf.org/viaf/,
statements,form of creative work,item,E2chmtzQ,,sonata
statements,creator,item,Na5pMDjZ,,Domenico Scarlatti
statements,adapted by,item,YdWwzL5r,,Carl Czerny
statements,adapted by,item,S2wjk8Yx,,Alessandro Longo
