category,faam_property,type,value,base_url,label
metadata,label,string,Manchester,,
metadata,description,string,"city in Greater Manchester, England",,
metadata,aliases,string,"Manchester, England",,
metadata,aliases,string,"Manchester, UK",,
metadata,aliases,string,Cottonopolis,,
metadata,aliases,string,Warehouse City,,
metadata,aliases,string,Madchester,,
metadata,aliases,string,Capital of the North,,
metadata,aliases,string,"Manchester, Lancashire",,
metadata,qid,externalid,Q18125,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,0,,
statements,GeoNames ID,externalid,2643123,https://www.geonames.org/,
statements,country,item,KmPGztnu,,United Kingdom
