category,faam_property,type,value,base_url,label
metadata,label,string,Oliver Ditson Company,,
metadata,label,string,Oliver Ditson Company,,
metadata,description,string,,,
metadata,description,string,American publisher of sheet music,,
metadata,id,id,mm7UrXid,,
metadata,nodegoat_id,id,16004172,,
metadata,aliases,string,Oliver Ditson Co.,,
metadata,aliases,string,Oliver Ditson & Co.,,
metadata,aliases,string,Oliver Ditson and Company,,
metadata,aliases,string,Oliver Ditson Company,,
metadata,qid,externalid,Q59617376,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,128297096,https://viaf.org/viaf/,
statements,type,item,2fXfbLCV,,music publishing company
statements,role,item,GBgJfRbK,,publishing company
statements,occupation,item,9joWzZuU,,opera composer
statements,nationality,item,LbfJnd9y,,United States
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
