category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,"Quentin Durward : opéra comique en 3 actes : trio chanté par MM. Jourdan, Faure et Barrielle",,,
metadata,description,string,,,,
metadata,id,id,EysxGesA,,,
metadata,nodegoat_id,id,15992495,,,
metadata,FAAM manifestation ID,id,KCA-030902587564,,,
metadata,call number,string,MM-ZP-GEVAE-quentin-1,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,,,,
statements,date,date,,,,
statements,handwritten annotation,item,eHYWo9ba,translation,,
statements,handwritten annotation,item,Pcc4PpDc,,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,,,,
statements,keyword,item,hxYumS2J,opera,,
statements,keyword,item,MaWnCnVw,arrangement,,
statements,keyword,item,M9HRWrxt,reduction,,
statements,keyword,item,BZa5CHMu,medievalism,,
statements,keyword,item,HwcYgL5C,salon music,,
statements,instrumentation,item,KJkThvsq,voice,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,musical work,item,hDU4mEPG,Quentin Durward,,
statements,agent,statement,3NyookEG,,45qo3Fj3||,
statements,agent,statement,Jhb5rrXW,,fkHJwpoD||,
statements,agent,statement,,,||,
statements,role,item,45qo3Fj3,music editor,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,,,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,KCA-030902587564.gif,,,../assets/images/thumbs/
