category,faam_property,type,value,base_url
metadata,label,string,music director,
metadata,label,string,music director,
metadata,description,string,,
metadata,description,string,"director of music, for an orchestra, film, radio station, etc.",
metadata,id,id,WVAdy2Fe,
metadata,nodegoat_id,id,15990880,
metadata,qid,externalid,Q1198887,http://wwww.wikidata.org/entity/
metadata,aliases,string,musical director,
metadata,aliases,string,bandleader,
metadata,aliases,string,band leader,
metadata,aliases,string,orchestra director,
metadata,aliases,string,MD,
metadata,aliases,string,director of music,
metadata,aliases,string,music director,
