category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Mittheilungen über Joh. Seb. Bach's Magnificat,,,
metadata,description,string,,,,
metadata,id,id,2SzToB8x,,,
metadata,nodegoat_id,id,16004329,,,
metadata,FAAM manifestation ID,id,BSB-991125835949707356,,,
metadata,call number,string,Mus.th. 1155,,,
metadata,score format,item,YgK4PJwk,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,1863,,,
statements,editorial annotation,item,VMA2AmEN,performance practice,,
statements,provenance,item,FDCuefHz,Bavarian State Library,,
statements,related item,item,,,,
statements,keyword,item,FSduWvy5,early music,,
statements,keyword,item,jTMjFsDj,Cecilian Movement,,
statements,keyword,item,jArGUTgq,historically informed performance,,
statements,agent,statement,D3Vekn6E,,fkHJwpoD|ef89QxJG|1863,
statements,role,item,fkHJwpoD,composer,,
statements,place,item,ef89QxJG,Halle,,
resources,thumb,image,BSB-991125835949707356.gif,,,../assets/images/thumbs/
