category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Beatrijs : sinfonisch poema,,,
metadata,description,string,,,,
metadata,id,id,WbGCMSar,,,
metadata,nodegoat_id,id,15992283,,,
metadata,FAAM manifestation ID,id,KCA-030903772819,,,
metadata,call number,string,MM-MEUMS-MEULE-beatrij-1,,,
metadata,score format,item,mrQyCLJX,,,
metadata,score complexity,item,THYV2oLw,,,
statements,date,date,,,,
statements,handwritten annotation,item,SnxsnGvi,,,
statements,handwritten annotation,item,4PAdXGNC,,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,,,,
statements,keyword,item,M9HRWrxt,reduction,,
statements,keyword,item,N9v5g9U5,symphonic poem,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,musical work,item,CYmQEned,,,
statements,agent,statement,4WGmC6Zt,,fkHJwpoD||,
statements,role,item,fkHJwpoD,composer,,
statements,place,item,,,,
resources,thumb,image,KCA-030903772819.gif,,,../assets/images/thumbs/
