category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Gott fähret auf mit Jauchzen,,,
metadata,description,string,,,,
metadata,id,id,JsRTE3dw,,,
metadata,nodegoat_id,id,16004333,,,
metadata,FAAM manifestation ID,id,BSB-991106266939707356,,,
metadata,call number,string,4 Mus.pr. 65048,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,1862,,,
statements,date,date,,,,
statements,date,date,,,,
statements,editorial annotation,item,3ts8CrNB,musical phrasing,,
statements,editorial annotation,item,UDva945b,crescendo,,
statements,editorial annotation,item,DqMNcjpW,trill,,
statements,editorial annotation,item,e9t5BdLA,decrescendo,,
statements,editorial annotation,item,FhoqCrfh,realization of figured bass,,
statements,editorial annotation,item,WuWcWk4u,ritenuto,,
statements,provenance,item,FDCuefHz,Bavarian State Library,,
statements,related item,item,,,,
statements,keyword,item,Gz3LUkC5,church cantata,,
statements,keyword,item,FSduWvy5,early music,,
statements,keyword,item,hVVnQwSn,poem,,
statements,keyword,item,EWh47JQF,realization of figured bass,,
statements,keyword,item,M9HRWrxt,reduction,,
statements,instrumentation,item,ABS5BA5Q,soprano,,
statements,instrumentation,item,8WpBEr8m,alto,,
statements,instrumentation,item,LfjWYP98,tenor,,
statements,instrumentation,item,gXG8bjH5,bass,,
statements,instrumentation,item,5yLc7bQJ,choir,,
statements,instrumentation,item,KJkThvsq,voice,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,musical work,item,PoMopPPS,"Gott fähret auf mit Jauchzen, BWV 43",,
statements,agent,statement,QhRQ5LW9,,fkHJwpoD||,
statements,agent,statement,D3Vekn6E,,45qo3Fj3||,
statements,agent,statement,4p5WarCT,,GBgJfRbK|cwxDpYRt|1862,
statements,agent,statement,,,||,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,45qo3Fj3,music editor,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,,,,
statements,place,item,cwxDpYRt,Wrocław,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,BSB-991106266939707356.gif,,,../assets/images/thumbs/
