category,faam_property,type,value,base_url,label
metadata,label,string,Lisbon Theatre and Film School,,
metadata,label,string,Lisbon Theatre and Film School,,
metadata,description,string,,,
metadata,description,string,film school,,
metadata,id,id,Vp4ewFKn,,
metadata,nodegoat_id,id,15991088,,
metadata,qid,externalid,Q1367284,http://wwww.wikidata.org/entity/,
metadata,aliases,string,Conservatório Nacional de Cinema,,
metadata,aliases,string,Escola Superior de Teatro e Cinema,,
metadata,aliases,string,Lisbon Theatre and Film School,,
statements,place,item,fQFR87Nk,,
statements,place,item,S3i4q6Vg,,
statements,country,item,Ars8m6Hw,,
