category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,L'Enfant-Roi,,,
metadata,description,string,,,,
metadata,id,id,3GZwb6wt,,,
metadata,nodegoat_id,id,16005545,,,
metadata,FAAM manifestation ID,id,ORP-20143988p42,,,
metadata,call number,string,KTS1 H.11.map.008,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,note,html,"L'Illustration, N. 3237
L'Illustration, N. 3237",,,
statements,date,date,,,,
statements,date,date,11-03-1905,,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,,
statements,related item,item,,,,
statements,keyword,item,hxYumS2J,opera,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,instrumentation,item,KJkThvsq,voice,,
statements,agent,statement,mVRB2g58,,fkHJwpoD||,
statements,agent,statement,mVRB2g58,,fkHJwpoD||,
statements,agent,statement,Ui7C9eZU,,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,Ui7C9eZU,,GBgJfRbK|GDeKaNeC|11-03-1905,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,GBgJfRbK,publishing company,,
statements,place,item,,,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
resources,thumb,image,ORP-20143988p42.gif,,,../assets/images/thumbs/
